Player,PlayerName1,PlayerName2,PlayerName3,Rating,Salary
Pere Pons,Pere,Pons,,6.66,
Philippe Coutinho,Philippe,Coutinho,,6.93,
Pione Sisto,Pione,Sisto,,6.44,
Portu,Portu,,,6.61,
Promes,Promes,,,6.59,
R. D. T.,R.,D.,T.,6.94,
Ramiro Funes Mori,Ramiro,Funes,Mori,6.8,
Raphael Varane,Raphael,Varane,,6.78,
Raúl García,Raúl,García,,7.17,
Rober Pier,Rober,Pier,,6.59,
Roberto Rosales,Roberto,Rosales,,7.02,
Roberto Santamaría,Roberto,Santamaría,,6.72,
Rodrigo,Rodrigo,,,6.93,133340
Rodrigo ,Rodrigo,,,6.93,
Roger,Roger,,,6.63,
Roger ,Roger ,,,6.63,13000
Roque Mesa,Roque,Mesa,,6.48,
Rubén Alcaraz,Rubén,Alcaraz,,6.89,
Rubén Blanco,Rubén,Blanco,,6.53,
Rubén Duarte,Rubén,Duarte,,6.77,
Rubén Pardo,Rubén,Pardo,,6.63,
Rubén Peña,Rubén,Peña,,7.04,
Rubén Pérez,Rubén,Pérez,,6.66,
Rubén Rochina,Rubén,Rochina,,7.06,
Rubén Sobrino,Rubén,Sobrino,,6.48,
S. García,S.,García,,6.43,
S. Mina,S.,Mina,,6.71,
Samuel Chukwueze,Samuel,Chukwueze,,6.78,
Sandro,Sandro,,,6.33,
Santi Cazorla,Santi,Cazorla,,7.09,
Santiago Arias,Santiago,Arias,,6.91,
Santiago Cáseres,Santiago,Cáseres,,6.6,
Santiago Comesaña,Santiago,Comesaña,,6.7,
Saúl Ñíguez,Saúl,Ñíguez,,7.17,
Sergi Darder,Sergi,Darder,,6.78,
Sergi Enrich,Sergi,Enrich,,6.8,286500
Sergi Gómez,Sergi,Gómez,,6.7,
Sergi Roberto,Sergi,Roberto,,6.91,
Sergio Álvarez,Sergio,Álvarez,,6.57,
Sergio Asenjo,Sergio,Asenjo,,6.89,
Sergio Busquets,Sergio,Busquets,,7,
Sergio Canales,Sergio,Canales,,7,
Sergio Escudero,Sergio,Escudero,,6.65,
Sergio Postigo,Sergio,Postigo,,6.44,
Sergio Ramos,Sergio,Ramos,,6.91,
Sidnei,Sidnei,,,6.71,
Simon Kjaer,Simon,Kjaer,,6.87,
Sobrino,Sobrino,,,6.48,20340
Sofiane Boufal,Sofiane,Boufal,,7.03,
Stanislav Lobotka,Stanislav,Lobotka,,6.51,
Stole Dimitrievski,Stole,Dimitrievski,,6.5,
